,comment,date
357,"I was surprised at first and thought""did I just finished the chapter already??""...no I'm not. but I like it","Sep 5, 2019"
358,time to re-read for all dem good feels,"Sep 2, 2019"
359,longest episode ever!!!!😂,"Sep 2, 2019"
360,rayshawn Andrade was born in from New York city  But I rayshawn live in Miami Florida.  My birthday is may 23 year 1990. I rayshawn am 29 year  old  I speak two languages English and Spanish  I rayshawn Andrade am single and not married  I rayshawn Andrade really want to get married one day with a very sweet kind nice beautiful single girlfriend.And she only want to have kids with only me rayshawn Andrade.Not nobody else but only me rayshawn Andrade.  I live with my mom and dad. ,"Aug 28, 2019"
361,I love how it's called my giant nerd boyfriend but really it's just her that's small ,"Aug 26, 2019"
362,"Don’t mind me, just rereading this series for like the 5th time.....","Aug 25, 2019"
363,I’m 6foot 2 in.,"Aug 24, 2019"
364,"I’m like 10cm shorter than you, yikes at the height difference.","Aug 21, 2019"
365,I just read your last comic and then this one. Wow. That is awesome ♡♡♡,"Aug 16, 2019"
366,Ok looks fair to me,"Aug 15, 2019"
367,WHAT THE FRICK IM 158CM TOOOOO,"Aug 14, 2019"
368,ddaaammm you metric system !!!! I'm in America,"Aug 13, 2019"
369,Who’s been here since beginning and just wanted to see the start.,"Aug 11, 2019"
370,Haha I know someone who is 6’8. lololololol ,"Aug 10, 2019"
371,So funny reading this because I’m 5’ and my bf is 6’9” ,"Aug 10, 2019"
372,Heh my step dad is that tall and his dad is 6’9,"Aug 9, 2019"
373,"The people who are telling us Americans the metric system value, you are a god/goddess and I hope you have a good day. Thank you Europeans","Aug 6, 2019"
374,Holy Crap. He’s TALL,"Aug 5, 2019"
375,Took me me 5 minutes to scroll down here cuz I forgot about the first episode button,"Aug 4, 2019"
376,hi guys this story is amazing,"Aug 3, 2019"
377,I'm 4'7,"Aug 1, 2019"
378, I am glad you are here!!! you are amazing and talented and AWESOME :),"Aug 1, 2019"
379,"Hey he's as tall as me, cool","Jul 31, 2019"
380,"My boyfriend's a foot taller than me too. But I'm only 5'2"", so he's not THAT tall.","Jul 31, 2019"
381,I am 162 cm and my husband calls me fun sized. -.-,"Jul 30, 2019"
382,"i mean, i'm pretty short too. ¯\_(ツ)_/¯","Jul 29, 2019"
383,Hello I just got back from a horror WEBTOON and this is much better thank you ;-;,"Jul 29, 2019"
384,at least levi would be proud of you,"Jul 28, 2019"
385,So basically who's here because of Bunnyfufuu advertising this comic?!!,"Jul 27, 2019"
386,I’m in for this kind of stuff! I’m 5’2” and my husband is 6’4”. ,"Jul 26, 2019"
387,"Many dudes here will be waiting for a girl that says ""I need to get me one of those"" 😆","Jul 26, 2019"
388,thats it? thats the first episode.?,"Jul 22, 2019"
389,whats discover? seen it in alot of stories just dont understand???,"Jul 22, 2019"
390,Hay I am short to so like I feel her,"Jul 22, 2019"
391,ah,"Jul 21, 2019"
392,Lmao I’m like 5’2,"Jul 19, 2019"
393,oof i know these feels XD im 4'9,"Jul 19, 2019"
394,This is such an original trope...huge guy tiny woman... could it be more boring...,"Jul 18, 2019"
395,I'm like 172 centimeters😂,"Jul 17, 2019"
396,my brother is 6'5,"Jul 17, 2019"
397,So if I was Asian would I be freakishly tall ?? 165-166 cm,"Jul 15, 2019"
398,IM 172CM AND IM ASIAN OH BOY ITLL BE HARD TO FIND AN ASIAN MAN THIS TALL UNLESS HE IS LIKE SUM IDOL OR A MODEL🤡🤡🤡,"Jul 15, 2019"
399,meee but my boyfriend is a foot shorter than me,"Jul 12, 2019"
400,shut up i’m so stoked to read this i’m in luv with a 6’7” boy<3,"Jul 12, 2019"
401,LOOOL I got mate who is 6'9  😂😂 and I'm only between 5'11 - 6'0 and every time I'm with he just makes one hell'va tiny dude 😂😂😂👌🏻,"Jul 12, 2019"
402,He taller than my my fam,"Jul 8, 2019"
403,"I'm 5""7 and 6""6 is my boyfriend","Jul 5, 2019"
404,"I only started reading this because of the animated series, but I don't regret it at all. If you like short comedy comics like As Per Usual, Bluechair or Murrz you'll love this too","Jul 4, 2019"
405,Americans can do math. Educated ones at least. Conversions are easy. ,"Jul 3, 2019"
406,Last,"Jul 2, 2019"
407,wait 199cm that's tall I never knew that *calls girlfriend* hey I'm apparently taller than tall. Girlfriend: why are you calling at 6:00AM just to mock me about how you are like a giant and I'm like an ant. Me: wait so I'm tall *click* hey are you still there hello helloooo *goes into a coner to cry* why did my parents have to be giants (I'm actually happy being a giant because I love basketball I'm the new masakibara that's a Kuroko No Basket reference).,"Jul 1, 2019"
408,I Don't Know If This Is Coincidence But As Soon I Started To Read This Book/Comic It Was Already July 1st  . - .,"Jul 1, 2019"
409,oh my goodness! I'm 158 cm too!,"Jul 1, 2019"
410,"Curious to see how much I can relate to, I’m  4’10 with a 6’3 boyfriend 😅","Jul 1, 2019"
411,what is in those square packets with a circular bump in it?,"Jul 1, 2019"
412,brooo he boob 🤣,"Jun 29, 2019"
413,Fishball I've already read all of your stuff I'm re reading it because it's amazing it's my favorite online comic just thank you,"Jun 26, 2019"
414,IM 4'9! *goes to a corner and cries* ;^;,"Jun 26, 2019"
415,"I understand, my boyfriend is taller ;~;Giants are real","Jun 26, 2019"
416,fishball don't is cool in brazil...,"Jun 21, 2019"
417,I understand this completely I'm 5 feet exactly and he's 6 foot 3 inches. 🤣,"Jun 20, 2019"
418,I’m like 170something,"Jun 19, 2019"
419,"Haha, I don't have this problem. My boyfriend is the same height as me. If not SLIGHTLY shorter. According to the American metric System, we're both 5'3 🤣🤣","Jun 19, 2019"
420,mmmm hello...I'm an American who uses the metric system.. anyway I'm 150 cm and my boyfriend is 182 cm...so yeah I feel you,"Jun 18, 2019"
421,My husband 6’6 and I am 5’0 lol,"Jun 17, 2019"
422,Cutie,"Jun 17, 2019"
423,Yoooo! Same problem! I’m 5’6” and my boyfriend is freakin 6’2”!!!! Uuuuugggghhhhh,"Jun 16, 2019"
424,thanks,"Jun 13, 2019"
425,"Man, we’ve all been there. Having someone as tall as the Eiffel Tower. It makes us feel short. #Shortlife ","Jun 12, 2019"
426,"My dad is actually really tall too, he's 196 cm ","Jun 6, 2019"
427,But somehow you fit together with your face ♡ haha,"Jun 5, 2019"
428,He has bigger boobs than me :<,"Jun 3, 2019"
429,oh,"Jun 2, 2019"
430,I get it. Asians don’t grow as much. Another reason why I’m short.,"May 29, 2019"
431,"Lol, yeah. My husband is 6'8. So even though I'm 5'8, I look super tiny when I'm with him.","May 27, 2019"
432,so ur 5'1 and your boyfriend is 6'5. What a life...,"May 25, 2019"
433,"yea and she is 5,1","May 25, 2019"
434,😂 heehee even tho I'm caught up I wanted to reread this again. 😀❤ so much has changed,"May 23, 2019"
435,omg her art has changed so much,"May 23, 2019"
436,"omg im aslo 1,58cm 😂 and my family is about 1,85cm gurlllllll i can relate","May 22, 2019"
437,she's taller than my dad tho :O,"May 22, 2019"
438,Why you so small?,"May 22, 2019"
439,"Gonna re read this, wish me luck on my journey 💕","May 21, 2019"
440,why is her name fishball😂,"May 17, 2019"
441,I'm 150 and my man is 195 I know that feel 😂,"May 16, 2019"
442,Bro,"May 15, 2019"
443,im 5'5 ;-; ,"May 12, 2019"
444,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,"May 8, 2019"
445,It’s really good in my opinion ,"May 7, 2019"
446,decided to revisit the first episode and the art styles so different from what it is now ,"May 5, 2019"
447,"I’m taller than you, and I’m in 5th grade, it’s not good being tall everyone is scared of me. I’m 5’4","May 4, 2019"
448,"I'm looking soooo forward to reading this comic, especially bc that would be me and my crush. Well he isn't quite 6'6"", but 5'11"" is still pretty damn tall for middle school XD","Apr 27, 2019"
449,looks cute,"Apr 23, 2019"
450,"Honestly, this is me and my boyfriend. He’s 6’2 and I’m at 5’6 😅","Apr 18, 2019"
451,This is what happens when girls only date guys that are 6ft+,"Apr 17, 2019"
452,"My grandparents are the same with the height, my grandpa is 6'8 and my nana is 5'2🤣","Apr 12, 2019"
453,That Asian comparison guy was actually REALLY CUTE BRING HIM BACK,"Apr 10, 2019"
454,he should be a V.I.X.X. MEMBER😂,"Apr 9, 2019"
455,i'm 1m56... still hope to find a 2m boyfriend 😂😂,"Apr 8, 2019"
456,"I love seeing how much her art has changed, it's amazing ♡","Mar 15, 2019"
457,"When I got a notification saying #relationshipgoals I thought they were talking about Lumine and Kody from the other story, 💔💔💔","Mar 13, 2019"
458,NOT VERY SHORT IN ASIAN STANDARDS????  GURL U ONLY 158!!  IM ASIAN AND 13 AND IM 167 HUEHUEHUE,"Mar 12, 2019"
459,What I say when my tall friends ask why I am short “ I am not short yall just tall”,"Mar 12, 2019"
460,"Wonder how a someone like me would look next to him, I’m 4’11 miDgEt short bye 🤔💀","Mar 10, 2019"
461,Lol 199,"Mar 8, 2019"
462,"In my country people would make fun of her for being a dwarf, while the guy would be just tall. I had a boyfriend taller than him ;d","Mar 8, 2019"
463,She's 158cm omg that's so smol qwq,"Mar 8, 2019"
464,💛😙,"Mar 6, 2019"
465,"you are taller than my whole family , my family is full of 4feet people execpt my dad who's 5'2 kssk","Mar 6, 2019"
466,tall is not enough adjective for that height?!??? ,"Mar 5, 2019"
467,Dang boy...you are taller than my mom ,"Mar 4, 2019"
468,It’s funny because my boyfriend is 6’3” and I’m 5’3” so I TOTALLY GET IT,"Mar 3, 2019"
469,"Then I realize... that I am very short. Not sure how tall you are, but I’m sure you’re taller than a 4’11 girl. My friend is asian and still taller than me T-T (And I’m SUPER European. My family is super tall and my friends are super tall. Genetics are crap in my family and never seem to pass down...)","Feb 25, 2019"
470,"im 159 cm!!  im only 1 inch taller than u gorl,  and my bestfriends (who r guys)  were shorter than me last week,  but now they r like taller than me huhuhu〒_〒","Feb 25, 2019"
471,"I love seeing how much her art has changed, it's amazing ♡","Mar 15, 2019"
472,"When I got a notification saying #relationshipgoals I thought they were talking about Lumine and Kody from the other story, 💔💔💔","Mar 13, 2019"
473,NOT VERY SHORT IN ASIAN STANDARDS????  GURL U ONLY 158!!  IM ASIAN AND 13 AND IM 167 HUEHUEHUE,"Mar 12, 2019"
474,What I say when my tall friends ask why I am short “ I am not short yall just tall”,"Mar 12, 2019"
475,"Wonder how a someone like me would look next to him, I’m 4’11 miDgEt short bye 🤔💀","Mar 10, 2019"
476,Lol 199,"Mar 8, 2019"
477,"In my country people would make fun of her for being a dwarf, while the guy would be just tall. I had a boyfriend taller than him ;d","Mar 8, 2019"
478,She's 158cm omg that's so smol qwq,"Mar 8, 2019"
479,💛😙,"Mar 6, 2019"
480,"you are taller than my whole family , my family is full of 4feet people execpt my dad who's 5'2 kssk","Mar 6, 2019"
481,tall is not enough adjective for that height?!??? ,"Mar 5, 2019"
482,Dang boy...you are taller than my mom ,"Mar 4, 2019"
483,It’s funny because my boyfriend is 6’3” and I’m 5’3” so I TOTALLY GET IT,"Mar 3, 2019"
484,"Then I realize... that I am very short. Not sure how tall you are, but I’m sure you’re taller than a 4’11 girl. My friend is asian and still taller than me T-T (And I’m SUPER European. My family is super tall and my friends are super tall. Genetics are crap in my family and never seem to pass down...)","Feb 25, 2019"
485,"im 159 cm!!  im only 1 inch taller than u gorl,  and my bestfriends (who r guys)  were shorter than me last week,  but now they r like taller than me huhuhu〒_〒","Feb 25, 2019"
486,bootifully tall im 5'5 ouch,"Feb 24, 2019"
487,(Spends almost an hour reaching bottom of page list) My goal is completed (realizes how much I have to read) I wish for death,"Feb 24, 2019"
488,I can already tell this is going to be good 😁,"Feb 21, 2019"
489,I'm a shortie and my friends in my grade are taller than meh (╥ω╥`),"Feb 20, 2019"
490,This is so cute 😂💗,"Feb 19, 2019"
491,im- PROUD (im malaysian) ,"Feb 17, 2019"
492,My teacher is as tall as him!,"Feb 16, 2019"
493,same goes to me... but... i'm more taller than my boyfriend and he left me because of that... we only date for three day tho 😭 that was the hardest moment to me,"Feb 16, 2019"
494,aaaaaaaaaaaaaaaaaa this looks so cute,"Feb 15, 2019"
495,"I'm 160 cm height. People usually say that's a really great one for Asian standard. But wow, 199? I couldn't even imagine lol","Feb 12, 2019"
496,it's just him being tall 😂😂,"Feb 11, 2019"
497,"I’m actually reading MGNB and I’ve been loving every single episode. So for the people who just started, THE CREATOR IS FISHBALL AND SHEE AMAZING","Feb 10, 2019"
498,I knew this comic since a long time ago but I couldn't find the source.. Im so happy that I found it!! Love ya author-nim!!! ❤️❤️,"Feb 8, 2019"
499,That guy is crazy TALL!,"Jan 28, 2019"
500,Alolan exeggutor boyfriend ,"Jan 26, 2019"
501,"my brother is 6'8"" i know crazy talli wonder if anyone is 7ft tall😕😕😏","Jan 23, 2019"
502,I love your comics  the comics  are super hilarious 🤣and your drawings are really cool and beautiful 👏🏻😍💯👌🏻,"Jan 21, 2019"
503,Thx skimikskim for making that clearer! I’m not even good at measurement so that’s great!,"Jan 20, 2019"
504,"""Its just him bein crazy tall."" Me when my friend is 20 feet taller than meh","Jan 19, 2019"
505,Why u draw the chest like that looksweird just dont draw the chest at all,"Jan 18, 2019"
506,"sis,,,,,,, i’m 5’4","Jan 18, 2019"
507,The guy’s a good 3 or 4 inches taller than me. ,"Jan 17, 2019"
508,Hahahahahahaha. I can relate to this. I think im going to LOVE this! 😂♥️💕,"Jan 14, 2019"
509,Wait if Asians are short is that why I'm so short and my friends are a tall???,"Jan 11, 2019"
510,im asian...5'8... but no bf... R E L A T A B L E,"Jan 11, 2019"
511,I’m of average height. For a 5th grade...(I’m 13),"Jan 10, 2019"
512,my bf is tall too xD,"Jan 9, 2019"
513,"Damn, this looks cute.","Jan 7, 2019"
514,Im 178 cm when will I ever ,"Jan 7, 2019"
515,"this is so lame like seriously I can't believe it, it's so short and pathetic","Jan 5, 2019"
516,I wonder when this is going to become my giant nerd husband...,"Jan 4, 2019"
517,"Who's here in 2019?! I've been reading this webtoon since the YouTube ads haha.... those were a while ago btw. This is where it all started huh...... well cya! Cookies,Out!","Jan 4, 2019"
518,"Who's here in 2019?! I've been reading this webtoon since the YouTube ads haha.... those were a while ago btw. This is where it all started huh...... well cya! Cookies,Out!","Jan 4, 2019"
519,"I'm currently reading this webtoon.. I love it really. Haha. I am shorter, only 147cm hope I can also have a tall boyfriend hihihi","Jan 1, 2019"
520,My parents are over 1ft apart too 😂 ,"Jan 1, 2019"
521,Frist time reading 😊,"Dec 31, 2018"
522,I’m new ugh gonna read all this ...I believe in myself kinda of ...not really but I love you,"Dec 28, 2018"
523,YOU STOLE THE FOOD FROM THE PRECIOUS QUEEN ROBIN FROM SMALL WORLD ,"Dec 27, 2018"
524,Least it isn’t Yao Ming,"Dec 23, 2018"
525,152 cm 😂😂😂,"Dec 23, 2018"
526,And I'm 155 cm,"Dec 19, 2018"
527,I'm 158 too ._. but I'm just 11 XD,"Dec 16, 2018"
528,Don't worry I'm your size as well úwù ,"Dec 15, 2018"
529,"I am tall too ,i mean VERY tall","Dec 15, 2018"
530,lol this is funny but when will it be a second one,"Dec 14, 2018"
531,after 2 webtoons finished...i am about to start this...i hope that i will really enjoy this as i enjoyed the first 2...thanks to my daughter for telling to try reading webtoon also...and here i am...i am really enjoying this.,"Dec 9, 2018"
532,WA SIAOOOOOOOOOMY TALLEST CLASSMATE 184CM ONLY LEH,"Dec 8, 2018"
533,AND I'M 147 CM. UHHHHH,"Dec 7, 2018"
534,im 5'8 in 7th grade so im probably gonna be that tall,"Dec 5, 2018"
535,Can you guys see at this episode fishball's art style changed from this episode to the newest episode ,"Dec 4, 2018"
536,Mine is 6’9 and I’m 5’4,"Dec 3, 2018"
537,"Welp. Was at a family meeting yesterday and met some relatives on the same relation to my grandma a.k.a. children of my grandmas children, and I am the youngest  at age 14, while the second youngest is 18 years older than me AND is like 7 foot tall while I am below 6 foot and his wife is shorter than me so... I know that situation of a couple havin a giant height difference.","Dec 2, 2018"
538,my boyfriend is 7ft,"Nov 30, 2018"
539,"She’s very tall to be Asien I mean my mom is Asien and she is around 1,52 meters and my friends mom who is also Asien is around 1,44 meters. So she is very tall!!!","Nov 30, 2018"
540,"I'm 147 cm and 19 years old. The most awkward experience in my life was by far the time I had to hug a 200 cm dude. It's like hugging a tree, but more meaty","Nov 27, 2018"
541,I'm 160cm and my boyfriend is 200cm so SAME HERE HOHOHO,"Nov 26, 2018"
542,"Actually, she's short.Im 9th grade. I live in Mongolia and shortest girl in my class is 156...😞😞😞","Nov 26, 2018"
543,is it bad that i read WEBTOON as WEEBTOON,"Nov 25, 2018"
544,lol💀💀💀,"Nov 14, 2018"
545,this is already amazing and i love it-,"Nov 14, 2018"
546,Why is this my relationship T^T he's even getting me a shirt that says big girl cos he thinks its ironic with me being as short as I am ( ≧Д≦) I'M NOT CRYING YOUR CRYING (ノ﹏ヽ),"Nov 13, 2018"
547,http://DoPartTimeJob.com/?user=1075739,"Nov 11, 2018"
548,its like me... i m 197 lol,"Nov 10, 2018"
549,this is relatable I'm 5'0 😒and my boyfriend it 6'3 and it literally kills me lol,"Nov 9, 2018"
550,dammmmm,"Nov 5, 2018"
551,I had a manager at a haunted house who was 6'6 but he was skinny af. made a perfect occultist.,"Nov 5, 2018"
552,"i have a friend, half asian and half australian and hes two meters tall and hes just seventeen","Nov 5, 2018"
553,6’6” is literally my entire family....,"Nov 4, 2018"
554,I love that your brother premiered in the premiere and we didn’t even know ,"Nov 3, 2018"
555,"i scrolled to the bottom to re-read and man, her art style has developed and grown so much since she started posting these comics! ","Nov 2, 2018"
556,GOD IS HE TALL🙀I’m only 5’0 and your bf is 6’5,"Oct 30, 2018"
557,"I’m 5’0, My sister is 5’6 my mom is 5’5 my brother is 5’9 and my dad is 7’4","Oct 29, 2018"
558,This comic is the story of my life. I’m Asian and tall for Asian standards. I’m 5’5 and my boyfriend is about 6ft tall,"Oct 29, 2018"
559,Im really tall by asian standards And im in middle school and a girl,"Oct 29, 2018"
560,Fishball looks way different here.,"Oct 28, 2018"
561,I’m an American so I did the math and he’s still soooo much taller than her. Her height being around 5’2 average: 5’10 and his being 6’6 That’s almost a foot and a half taller than her,"Oct 27, 2018"
562,OMG BY ASIAN STANDARDS I’M NOT SHORT sorry I had to but I’m really short ,"Oct 26, 2018"
563,"So coming back to this.. man things have changed, like the art style is completely different! (“Completely”)","Oct 26, 2018"
564,Try being 5 foot at 15,"Oct 22, 2018"
565,His chest is also bigger. ,"Oct 22, 2018"
566,fishball = 5 foot 2 I'm 12 and we're the same height,"Oct 12, 2018"
567,That was a short episode ,"Oct 8, 2018"
568,Short squad where you at?,"Oct 7, 2018"
569,OMG he is tall af and my cousin is the tallest in my family but my sister was the tallest but she is still tall but on my other side of my family my dad is the tallest and he is   34 and my mom is short and she is 35 my God ,"Oct 7, 2018"
570,Oh my god. He's hella tall. ,"Oct 3, 2018"
571,this comic is practically my sister and her boyfriend ,"Oct 2, 2018"
572,when you're shorter than Fishball,"Oct 1, 2018"
573,Those boobs tho xD,"Sep 30, 2018"
574,if he is asian and almost 200cm he is the next yao ming,"Sep 29, 2018"
575,"I’m half asian, and my height is also quite tall for asian standards :000","Sep 28, 2018"
576,-,-
577,This is literally my life....,"Sep 20, 2018"
578,what's wrong with the DD😂😂,"Sep 19, 2018"
579,"when you go back to the beginning to see how tall they are, and realize fish ball is taller than you 😭 (5'0"" or 153cm) ","Sep 14, 2018"
580,bruh,"Sep 11, 2018"
581,I know a guy who's 6'9. He's 12.,"Sep 9, 2018"
582,Lol,"Sep 9, 2018"
583,How relatable!,"Sep 8, 2018"
584,chama a sonia,"Sep 7, 2018"
585,I’m 150 and I’m 16 years old XD ,"Sep 6, 2018"
586,WOW U ASIAN ME TOOOO  Im a Filipino im 12 years old and im 155cm.... share ko lang,"Sep 5, 2018"
587,I WANT ONE!!🙋‍♀️,"Sep 3, 2018"
588,Im 159 😏 and IM 11 MUAHA,"Sep 3, 2018"
589,im back from the shack,"Sep 3, 2018"
590,I hate these Fucking shitty comics they only have 2 Fucking pictures in each chapter come on this dose not deserve 10milion like Fuck this shit (Edit: thank you for the most dislikes cause I don't give a fuck),"Sep 2, 2018"
591,Great introduction Very fullQuality content ,"Aug 30, 2018"
592,oh i'm 158cm tooo🤣,"Aug 29, 2018"
593,WOAH THE ARTWORK LOOKS DIFFERENT.,"Aug 28, 2018"
594,"Wow, I'm super late!","Aug 24, 2018"
595,Is the author a Malaysian? Me too :),"Aug 23, 2018"
596,being the shprt 5'3 girl i am holy shit he is tall as heeck,"Aug 21, 2018"
597,This is like jimin standing next to RM lol,"Aug 20, 2018"
598,I’m already 148 and I am only 11😂😂🤣,"Aug 18, 2018"
599,"I'm starting this right now ( August 18, 2018 )","Aug 17, 2018"
600,"Look I know it's late but 1. I'm 11 and 1 inch shorter than you, 5'1"" 2. I'm on episode 67, Just wanted to see your brother cuz I read the comment you said about him in ep. 1 Bye  Edit:76 not 67 Sorry","Aug 15, 2018"
601,omg i love how they do there art and how they make it so funny,"Aug 12, 2018"
602,does he bonk his head on dah ceilin or somethin,"Aug 11, 2018"
603,second time reading this:3,"Aug 10, 2018"
604,He reminds me to Aone.,"Aug 10, 2018"
605,woah the artstyle is so different back then :O,"Aug 9, 2018"
606,"my dads 7'9"" hes really tall😂","Jul 24, 2018"
607,This is a Awesome story and I’m just starting the story love you awesome keep up the great work don’t give up we love you so so much love you too the moon and back❤️❤️,"Jul 24, 2018"
608,"I'm 18 and 148, I'm a pokemon 👌","Jul 24, 2018"
609,-,-
610,WOW I like it😃,"Jul 19, 2018"
611,Its just me or he has big tots lol.. ,"Jul 18, 2018"
612,lmao rip I’m 158 cm too 😔,"Jul 14, 2018"
613,"My daddy's 6'4"", and I came from ""Boyfriend of the Dead""😂😂😂😂N is hilarious😂😂😂😂😂","Jul 13, 2018"
614,"Author, I am Asian; but I am only 11 and I am 160 cm.","Jul 13, 2018"
615,THAT when you realise that YOU are shorter then protagonist and asian too (it sucks 156cm),"Jul 13, 2018"
616,oh god he is tall but I also seen a really tall girl on YouTube she is about 6 or 8 foot tall..but for real if I would have a boyfriend that tall I would be reallllllllyy short and shocked to seeing someone like that,"Jul 12, 2018"
617,"199 cm? pfft... try 205 cm, then we'll talk 👌","Jul 12, 2018"
618,My first time reading this... LESH c how dis goes cuz ish pretty good so far.... yasshhhh,"Jul 11, 2018"
619,so far it's not good enough for me,"Jul 11, 2018"
620,"Her: 5'1 Asian reference: 5'8 Bf: 6'5 I actually went to Google and did centimeters to inches, then inches to feet on a different tab😂","Jul 11, 2018"
621,"my dads 7'9"" hes really tall😂","Jul 24, 2018"
622,This is a Awesome story and I’m just starting the story love you awesome keep up the great work don’t give up we love you so so much love you too the moon and back❤️❤️,"Jul 24, 2018"
623,"I'm 18 and 148, I'm a pokemon 👌","Jul 24, 2018"
624,-,-
625,WOW I like it😃,"Jul 19, 2018"
626,Its just me or he has big tots lol.. ,"Jul 18, 2018"
627,lmao rip I’m 158 cm too 😔,"Jul 14, 2018"
628,"My daddy's 6'4"", and I came from ""Boyfriend of the Dead""😂😂😂😂N is hilarious😂😂😂😂😂","Jul 13, 2018"
629,"Author, I am Asian; but I am only 11 and I am 160 cm.","Jul 13, 2018"
630,THAT when you realise that YOU are shorter then protagonist and asian too (it sucks 156cm),"Jul 13, 2018"
631,oh god he is tall but I also seen a really tall girl on YouTube she is about 6 or 8 foot tall..but for real if I would have a boyfriend that tall I would be reallllllllyy short and shocked to seeing someone like that,"Jul 12, 2018"
632,"199 cm? pfft... try 205 cm, then we'll talk 👌","Jul 12, 2018"
633,My first time reading this... LESH c how dis goes cuz ish pretty good so far.... yasshhhh,"Jul 11, 2018"
634,so far it's not good enough for me,"Jul 11, 2018"
635,"Her: 5'1 Asian reference: 5'8 Bf: 6'5 I actually went to Google and did centimeters to inches, then inches to feet on a different tab😂","Jul 11, 2018"
636,I know someone from school who was a giant for his age... 6th Grade: approximately 76 inches (Six feet four inches),"Jul 10, 2018"
637,Hey welcome to my family! The shortest guy is 6’ 2” and he looks like he’s 5’ 6”. The average height is 6’5” and the tallest 7’! Yep I’m surrounded by tall people. (For a reference there are about guys 15 in the group I’m calculating from),"Jul 10, 2018"
638,"Their actual height difference is 41 centimeters, but ok!","Jul 10, 2018"
639,Ahhaahhahahahaah I’m crazy tall for being Filipino ,"Jul 9, 2018"
640,there was an add for life support right after the comic *IM DYING*,"Jul 9, 2018"
641,I am 12 and i am 6.2 idk how to write it XD but is that a normal height? XD i must know if i am considered TALL XD,"Jul 9, 2018"
642,i love it 😉😉😉😃😃😃😍😍👍,"Jul 9, 2018"
643,Is it bad i'm tall XD whatever I can kick people to the moon XD,"Jul 8, 2018"
644,"I feel very represented by this, my husband is 1.95 and I'm 1.52 :DAlso, we're both nerds :D","Jul 7, 2018"
645,i feel like im on his standers people don't know how old i am because im tall for my age.,"Jul 7, 2018"
646,Not short by Asian standards? Nice. I am the opposite :( Boi life is unfair 🎈,"Jul 6, 2018"
647,"1m58 is really short, wayy below average of most countries haha","Jul 5, 2018"
648,لبيييييهه 😍😍199 حلو والله ,"Jul 5, 2018"
649,All my girlfriends have been taller than i am probably my next one is gonna be taller😂,"Jul 4, 2018"
650,haha I relate I'm German but very short,"Jul 4, 2018"
651,ok then...,"Jul 2, 2018"
652,LOL i’m 4’7” ,"Jul 2, 2018"
653,For some reason my calculator keeps saying he is 24 feet tall. Lol,"Jul 2, 2018"
654,At 5'7 I'm actually tall for a woman (especially since I live in a very Hispanic community).,"Jun 29, 2018"
655,hes got bigger boobs than u,"Jun 28, 2018"
656,I’m asian and short by standard  just 150 cm but 23 years old 😭😭😭,"Jun 28, 2018"
657,You’re not short to my standards. You’re still taller than me. 😂😂,"Jun 27, 2018"
658,"haha, he's just a couple of centimeters higher than me. I feel like I would relate to that boyfriend a lot :)Also the style seems really nice and eye-catchy. Definitely a subscribe worthy. Very cool work","Jun 26, 2018"
659,"Me and my bf. I'm 5""2 and he's 5""10.","Jun 24, 2018"
660,"oml im just 4""6","Jun 24, 2018"
661,2017!! n I just start reading comics when I realised I'm still single!!! 🙈,"Jun 22, 2018"
662,As I finish reading this I get a bts advertisement..    Also I am very short ,"Jun 21, 2018"
663,Lol I am asian and I am 173 cm (5'8) so I guess I am tall? Btw I’m a girl lol,"Jun 20, 2018"
664,By Asian standards I'm a little bit tall EDIT: The only bad this is my brother got my Asian mom length! I don't know how I'm tall since both my parents are shorties,"Jun 19, 2018"
665,my principals brother is 7 feet 2 inches which is super tall,"Jun 18, 2018"
666,"I just came back to see the difference and wow. nice job fishball, your owork has improved drastically. ","Jun 16, 2018"
667,Why was it so short.....?,"Jun 14, 2018"
668,yfhgh,"Jun 14, 2018"
669,I love how she gave him moobs. Seriously that made my day lol! 😂,"Jun 12, 2018"
670,I'm 5'7 wow,"Jun 10, 2018"
671,"Damn hes tall, I'm bearly 4' 3'' LOL","Jun 4, 2018"
672,what's discover? also i like this anyone agree?,"Jun 4, 2018"
673,I don't even reach 5'0. *sigh* ,"Jun 2, 2018"
674,well my dad is 6ft. 8in.,"Jun 1, 2018"
675,haha,"May 31, 2018"
676,Yea... Asians... (my life being the smallest kid in class ;-;),"May 31, 2018"
677,whats that in feet and inches? XD,"May 29, 2018"
678,"Well ,good introduction!  I like it .","May 29, 2018"
679,wih gila 2 meter ,"May 28, 2018"
680,wow...I'm about to be 14 and my height was same as yours and I'm also an asian😂,"May 27, 2018"
681,I'm 5'5 and my boyfriend is 6'4 its funny when i see him tower over my dad who is 5'10,"May 26, 2018"
682,"17, 4'9. 😂😂","May 26, 2018"
683,158 IS MY HEAIGHT AND IM ASIAN LMAO,"May 26, 2018"
684,**SMASHES SUBRIBE BUTTON**,"May 25, 2018"
685,Dammit 1.99cm,"May 25, 2018"
686,"18, 5'2. haha TnT","May 25, 2018"
687,This looks so cute! ,"May 25, 2018"
688,wow he is tall this girl has good taste in guys,"May 19, 2018"
689,I thought you were Singaporean! btw I am Singaporean! hello neighbour!,"May 18, 2018"
